iter	RMSE
339	4.359702025
340	4.35491606
341	4.349280441
342	4.3438324
343	4.342134278
344	4.340594077
345	4.337460813
346	4.33252189
347	4.332104514
348	4.329059329
349	4.326908244
350	4.323280434
351	4.319055466
352	4.314036564
353	4.309044756
354	4.307232494
355	4.304938411
356	4.302515559
357	4.300583471
358	4.296099099
359	4.293284538
360	4.290484143
361	4.28427336
362	4.280923262
363	4.277368951
364	4.272494018
365	4.269054697
366	4.26661567
367	4.266381394
368	4.263400341
369	4.26116128
370	4.256026654
371	4.250775404
372	4.247553519
373	4.24493555
374	4.24213904
375	4.240798488
376	4.236500014
377	4.233832647
378	4.231097238
379	4.228816865
380	4.225035171
381	4.222342384
382	4.216905758
383	4.214237581
384	4.212539069
385	4.209638314
386	4.206282786
387	4.203018667
388	4.201488886
389	4.198520661
390	4.195253194
391	4.193292724
392	4.193091836
393	4.190269651
394	4.189962878
395	4.188391704
396	4.186212238
397	4.185998109
398	4.184446637
399	4.181252824
400	4.18032927
401	4.177717167
402	4.172711873
403	4.17252195
404	4.169907604
405	4.168170048
406	4.165576059
407	4.16163114
408	4.161183494
409	4.158614089
410	4.155126732
411	4.152717818
412	4.1503986
413	4.14706852
414	4.146753627
415	4.14321529
416	4.139536949
417	4.13686283
418	4.133163538
419	4.131329393
420	4.128039913
421	4.125776938
422	4.124093471
423	4.121151451
424	4.118667044
425	4.115887326
426	4.111428859
427	4.109911463
428	4.105796915
429	4.10122717
430	4.097782852
431	4.094452609
432	4.092513032
433	4.090011955
434	4.08776066
435	4.086340662
436	4.080327403
437	4.077269004
438	4.07708021
439	4.076896111
440	4.075543544
441	4.073845977
442	4.072560342
443	4.070202083
444	4.066305573
445	4.065952345
446	4.063861349
447	4.060117807
448	4.058983652
449	4.058633368
450	4.055866517
451	4.053383907
452	4.051030634
453	4.047913057
454	4.045744914
455	4.045199798
456	4.042400237
457	4.038379101
458	4.033431958
459	4.029998088
460	4.027318042
461	4.024126205
462	4.022159428
463	4.020816236
464	4.018177427
465	4.016460595
466	4.014582026
467	4.012410817
468	4.010576882
469	4.005841594
470	4.003516033
471	4.001283661
472	3.995635414
473	3.994033673
474	3.993089913
475	3.987958798
476	3.987716671
477	3.983708606
478	3.979559683
479	3.975177347
480	3.973004783
481	3.970346906
482	3.970208987
483	3.968499932
484	3.966491535
485	3.965311073
486	3.963805872
487	3.960932954
488	3.958463371
489	3.958312576
490	3.955416427
491	3.954567885
492	3.95442619
493	3.952084111
494	3.949742617
495	3.946216015
496	3.94273494
497	3.937092267
498	3.933566103
499	3.931408009
500	3.929923063
501	3.928069086
502	3.924993721
503	3.922863681
504	3.920910357
505	3.914781897
506	3.912751195
507	3.908443498
508	3.905233625
509	3.90333659
510	3.903199781
511	3.899199945
512	3.896286298
513	3.894596675
514	3.89121737
515	3.889261263
516	3.889123135
517	3.887304317
518	3.88500817
519	3.880637169
520	3.880018818
521	3.877146272
522	3.874436265
523	3.872328023
524	3.868151152
525	3.867955484
526	3.866510095
527	3.863319889
528	3.86084733
529	3.857740538
530	3.857055951
531	3.855862311
532	3.855737167
533	3.854647264
534	3.852454587
535	3.849701577
536	3.847860301
537	3.847664158
538	3.846225251
539	3.844552775
540	3.842895781
541	3.839404708
542	3.836017012
543	3.832675663
544	3.831447652
545	3.828484204
546	3.825595745
547	3.823048398
548	3.821576965
549	3.819540403
550	3.816941807
551	3.816487648
552	3.812772461
553	3.810680983
554	3.809552654
555	3.805683794
556	3.804306155
557	3.800758229
558	3.798900904
559	3.798239201
560	3.79667771
561	3.793520341
562	3.792628374
563	3.791626599
564	3.790454935
565	3.787929652
566	3.786938846
567	3.784296779
568	3.783972018
569	3.782406032
570	3.77870618
571	3.774824505
572	3.774201499
573	3.77291197
574	3.770555385
575	3.770402018
576	3.763848893
577	3.760396926
578	3.759397797
579	3.758565173
580	3.75625801
581	3.754348957
582	3.752469583
583	3.751534093
584	3.751391699
585	3.748716892
586	3.745854287
587	3.741481811
588	3.739749673
589	3.737399974
590	3.735852631
591	3.735391734
592	3.734625377
593	3.732568085
594	3.73162204
595	3.730533682
596	3.730429231
597	3.72717712
598	3.723791321
599	3.721188694
600	3.717919476
601	3.716297791
602	3.715093442
603	3.713883387
604	3.711769555
605	3.708060835
606	3.704534665
607	3.703440032
608	3.703323796
609	3.701786124
610	3.701687449
611	3.700952193
612	3.698939253
613	3.694506294
614	3.693784853
615	3.691251115
616	3.689334601
617	3.68568656
618	3.682770907
619	3.679351389
620	3.675766682
621	3.672974506
622	3.668591833
623	3.666695498
624	3.665386519
625	3.660352427
626	3.657621396
627	3.656432444
628	3.652865798
629	3.651491871
630	3.648692971
631	3.647505012
632	3.647017041
633	3.646075865
634	3.645099202
635	3.644207818
636	3.643638358
637	3.642428862
638	3.642188971
639	3.641637288
640	3.641284891
641	3.640899614
642	3.637944231
643	3.636460939
644	3.635133335
645	3.634524096
646	3.629730759
647	3.629584302
648	3.627105871
649	3.626747619
650	3.622977854
651	3.618965192
652	3.617980295
653	3.612951416
654	3.609532571
655	3.607278115
656	3.606225364
657	3.604198543
658	3.601385403
659	3.599177914
660	3.598829558
661	3.595996315
662	3.592696094
663	3.590618081
664	3.590267265
665	3.588825087
666	3.587290133
667	3.585790612
668	3.585464043
669	3.583076315
670	3.582397316
671	3.581086435
672	3.578512857
673	3.576744659
674	3.575298483
675	3.57258161
676	3.570761737
677	3.569734083
678	3.56867077
679	3.567787225
680	3.567519197
681	3.567100845
682	3.564106517
683	3.562787906
684	3.560377135
685	3.559626437
686	3.558019215
687	3.557093077
688	3.555295056
689	3.551869984
690	3.549553722
691	3.548646692
692	3.547665281
693	3.545727997
694	3.545647666
695	3.544463117
696	3.544384811
697	3.540020666
698	3.538695873
699	3.53546044
700	3.535026357
701	3.533003258
702	3.530727036
703	3.527804613
704	3.525162963
705	3.523994595
706	3.520104723
707	3.517209445
708	3.516720261
709	3.516331092
710	3.515312823
711	3.513927714
712	3.511804589
713	3.510114422
714	3.509518601
715	3.509029912
716	3.504669477
717	3.503460893
718	3.500705011
719	3.499337188
720	3.497256582
721	3.495984095
722	3.495617606
723	3.492890424
724	3.491949647
725	3.491707981
726	3.489380717
727	3.489128194
728	3.487235618
729	3.487088053
730	3.485586519
731	3.484817766
732	3.482939851
733	3.481518175
734	3.481362711
735	3.481171061
736	3.47780279
737	3.477078981
738	3.474785968
739	3.474202426
740	3.472276852
741	3.470857451
742	3.468971614
743	3.468648987
744	3.468453223
745	3.465842357
746	3.463275378
747	3.460962839
748	3.458124515
749	3.455159806
750	3.453234478
751	3.451199825
752	3.449854668
753	3.448784735
754	3.446668142
755	3.444708964
756	3.444104436
757	3.442857132
758	3.439615538
759	3.437652383
760	3.434032459
761	3.433439273
762	3.432192953
763	3.430794694
764	3.427528923
765	3.426801606
766	3.422799935
767	3.422489026
768	3.419450508
769	3.41766057
770	3.417197604
771	3.415391168
772	3.413685533
773	3.413631509
774	3.408815612
775	3.406016136
776	3.403110828
777	3.398848489
778	3.39842107
779	3.397199142
780	3.39711716
781	3.395901337
782	3.395632089
783	3.394137227
784	3.392712148
785	3.392395309
786	3.391446884
787	3.391366044
788	3.390078577
789	3.389916981
790	3.389392162
791	3.387548815
792	3.384052729
793	3.382994173
794	3.381236083
795	3.378762096
796	3.377943659
797	3.376266869
798	3.373826777
799	3.373648017
800	3.373526151
801	3.371049917
802	3.368470923
803	3.365867661
804	3.364143216
805	3.363139601
806	3.362880989
807	3.362679661
808	3.361633711
809	3.358692291
810	3.357722378
811	3.35766468
812	3.357052617
813	3.355900641
814	3.354359976
815	3.353102598
816	3.352302068
817	3.350270845
818	3.349820799
819	3.347008713
820	3.346827471
821	3.346327532
822	3.344647359
823	3.343796047
824	3.339881905
825	3.33894968
826	3.336884264
827	3.334424588
828	3.332003408
829	3.331847558
830	3.329505432
831	3.326399572
832	3.325292314
833	3.324449889
834	3.322811394
835	3.321102575
836	3.319549549
837	3.317598907
838	3.314965092
839	3.314801765
840	3.314729436
841	3.312383728
842	3.310956009
843	3.307380729
844	3.305902916
845	3.303179976
846	3.300809098
847	3.300694049
848	3.300298983
849	3.299803173
850	3.29700402
851	3.295664345
852	3.294471386
853	3.29303539
854	3.292200337
855	3.290788713
856	3.287065583
857	3.285499644
858	3.283283836
859	3.282560954
860	3.281794063
861	3.279353434
862	3.278525759
863	3.277914208
864	3.276574373
865	3.27505087
866	3.27231118
867	3.267301912
868	3.266151432
869	3.265058143
870	3.263059101
871	3.260337224
872	3.260025559
873	3.259075308
874	3.258555771
875	3.258035763
876	3.256899174
877	3.256207042
878	3.254714049
879	3.252803591
880	3.252740264
881	3.250438993
882	3.247957291
883	3.24740922
884	3.24527768
885	3.243758968
886	3.242795297
887	3.242200832
888	3.241043575
889	3.239438821
890	3.236967992
891	3.236128807
892	3.235385866
893	3.233218686
894	3.232411555
895	3.23147584
896	3.22959117
897	3.226700219
898	3.22522117
899	3.22442243
900	3.223655422
901	3.223137607
902	3.222364444
903	3.219801946
904	3.218217815
905	3.217186431
906	3.216544824
907	3.216301237
908	3.212514468
909	3.208933154
910	3.206851399
911	3.20655471
912	3.20570435
913	3.203926577
914	3.202548554
915	3.202146171
916	3.198920776
917	3.197706899
918	3.196922724
919	3.196087978
920	3.193113084
921	3.19063523
922	3.189719991
923	3.188644672
924	3.187623272
925	3.187495027
926	3.186752576
927	3.185595816
928	3.185056238
929	3.183019427
930	3.182330626
931	3.181213723
932	3.181136172
933	3.180925341
934	3.17788188
935	3.175376513
936	3.174841064
937	3.173888921
938	3.173626463
939	3.171837795
940	3.171789592
941	3.171031878
942	3.170015641
943	3.167716922
944	3.167167373
945	3.165789405
946	3.165531562
947	3.165451652
948	3.16532602
949	3.163039066
950	3.160471598
951	3.159299457
952	3.159149016
953	3.157044032
954	3.15667381
955	3.15617227
956	3.155052619
957	3.153211233
958	3.152949704
959	3.152421234
960	3.152348623
961	3.152177607
962	3.15128678
963	3.149058913
964	3.147597155
965	3.14599729
966	3.14537678
967	3.145338591
968	3.144027065
969	3.143583913
970	3.141757423
971	3.140800318
972	3.139491376
973	3.137939242
974	3.134331426
975	3.132236929
976	3.130200299
977	3.129148453
978	3.127795687
979	3.127598545
980	3.123629119
981	3.123566574
982	3.121095138
983	3.118341199
984	3.115562881
985	3.115231379
986	3.112682499
987	3.111260127
988	3.10885915
989	3.107106533
990	3.105385172
991	3.105097481
992	3.104257346
993	3.10333053
994	3.102454849
995	3.101598269
996	3.099660809
997	3.095770037
998	3.094537889
999	3.09310683
